,Entity,Code,Year,Solar Capacity
0,Africa,DZA,-1.6744938164319783,-0.22551620189113727
1,Africa,DZA,-1.540898296500236,-0.22547918025635966
2,Africa,DZA,-1.4073027765684938,-0.22544215862523878
3,Africa,DZA,-1.2737072566367516,-0.22538662616850144
4,Africa,DZA,-1.140111736705009,-0.22533675575240103
5,Africa,DZA,-1.0065162167732669,-0.22529832356233026
6,Africa,DZA,-0.8729206968415246,-0.22525784356816808
7,Africa,DZA,-0.7393251769097824,-0.22520708816910812
8,Africa,DZA,-0.60572965697804,-0.225134374156647
9,Africa,DZA,-0.4721341370462978,-0.22506180639501108
10,Africa,DZA,-0.3385386171145555,-0.22490999734364728
11,Africa,DZA,-0.20494309718281326,-0.22468349959200173
12,Africa,DZA,-0.07134757725107096,-0.22437785209680683
13,Africa,DZA,0.06224794268067132,-0.22358302570438068
14,Africa,DZA,0.1958434626124136,-0.221992403996384
15,Africa,DZA,0.3294389825441559,-0.2206659991499143
16,Africa,DZA,0.46303450247589817,-0.21921124316041504
17,Africa,DZA,0.5966300224076404,-0.2133418477780526
18,Africa,DZA,0.7302255423393827,-0.1967741835041573
19,Africa,DZA,0.863821062271125,-0.19023520470868568
20,Africa,DZA,0.9974165822028672,-0.17089740463290218
21,Africa,DZA,1.1310121021346096,-0.13940116771905856
22,Africa,DZA,1.2646076220663518,-0.09370660669127774
23,Africa,DZA,1.398203141998094,-0.07167388970284008
24,Africa,DZA,1.5317986619298365,-0.0481146900106433
25,Africa,DZA,1.6653941818615787,-0.037173742383863936
26,Africa (BP),DZA,-1.6744938164319783,-0.2255180302549981
27,Africa (BP),DZA,-1.540898296500236,-0.22548100862204884
28,Africa (BP),DZA,-1.4073027765684938,-0.2254439869890996
29,Africa (BP),DZA,-1.2737072566367516,-0.2253884545506459
30,Africa (BP),DZA,-1.140111736705009,-0.22533675575240103
31,Africa (BP),DZA,-1.0065162167732669,-0.22529832354404664
32,Africa (BP),DZA,-0.8729206968415246,-0.22525784356816808
33,Africa (BP),DZA,-0.7393251769097824,-0.22520708818739174
34,Africa (BP),DZA,-0.60572965697804,-0.225134374156647
