,Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
0,01.01.2017-00:00,-1.25245406922542,-0.5281262988886889,-0.5129099582148572,-0.5755553859204183,-0.9046613555638034,1.0520128490971108,-0.46037380082298074
1,01.01.2017-01:00,-0.5770526074046456,-0.5281262988886889,-0.5363598404404971,-0.5755553859204183,-0.9441151483091593,1.1038857315909512,-0.46037380082298074
2,01.01.2017-02:00,-1.25245406922542,-0.5281262988886889,-0.5441764678490467,-0.5717161010398382,-1.0756277907936789,1.1557586140847915,-0.46037380082298074
3,01.01.2017-03:00,-0.14725167715506185,-0.5281262988886889,-0.5519930952575962,-0.5744584473831097,-1.088779055042131,1.1557586140847915,-0.46037380082298074
4,01.01.2017-04:00,0.8351504491297012,-0.5281262988886889,-0.5676263500746865,-0.5695222239652209,-0.4443671068679846,-0.5041736257181003,-0.46037380082298074
5,01.01.2017-05:00,-0.7612530060830387,-0.5281262988886889,-0.5676263500746865,-0.5722645703084924,-0.7205436560854759,-0.14106344826121775,-0.46037380082298074
6,01.01.2017-06:00,-0.7612530060830387,-0.5281262988886889,-0.5207265856233979,-0.5733615088458011,-0.8652075628184475,0.11830096420798411,-0.46037380082298074
7,01.01.2017-07:00,-0.8226531389758364,-0.5281262988886889,-0.5050933308063076,-0.5733615088458011,-1.036173998048323,0.22204672919566487,-0.46037380082298074
8,01.01.2017-08:00,-1.25245406922542,-0.5281262988886889,-0.4738268211721181,-0.5711676317711838,-1.049325262296775,0.014555199220303369,-0.46037380082298074
9,01.01.2017-09:00,-1.25245406922542,-0.5281262988886889,-0.43474368412937897,-0.5706191625025295,-1.1808379047812947,0.22204672919566487,-0.46037380082298074
10,01.01.2017-10:00,-1.3752543350110156,-0.5281262988886889,-0.4034771744951806,-0.5393564141892336,-1.1676866405328428,0.17017384670182448,-0.46037380082298074
11,01.01.2017-11:00,-0.9454534047614317,1.644750978249446,-0.3565774100439008,-0.2623794335188054,-0.9441151483091593,-0.14106344826121775,-0.31526307889626687
12,01.01.2017-12:00,-0.884053271868634,2.306061453900183,-0.333127527818252,0.2257582155835334,-0.68108986334012,-0.24480921324889848,0.09877881946039421
13,01.01.2017-13:00,-1.3752543350110156,2.2588249913537015,-0.333127527818252,0.13196997064364585,-0.5627284851040523,-0.5560465082119407,-0.22539524416195347
14,01.01.2017-14:00,0.8351504491297012,2.069879141167777,-0.3018610181840625,-0.11264732317617786,-0.2602494073896571,-1.437885510607227,-0.27750064656890516
15,01.01.2017-15:00,0.036948721523331375,0.7000217273198223,-0.21587811669003476,-0.35342533211542143,-0.286551935886561,-1.4897583931010674,-0.37283114445878607
16,01.01.2017-16:00,-0.08585154426226412,0.22765710185501029,-0.14552847001310618,-0.5410018219951965,-0.41806457837108074,-1.437885510607227,-0.46037380082298074
17,01.01.2017-17:00,0.7123501833441057,-0.5281262988886889,-0.09862870556181748,-0.5733615088458011,-0.49697216386179244,-1.3860126281133867,-0.46037380082298074
18,01.01.2017-18:00,1.264951379379285,-0.5281262988886889,-0.0282790588848889,-0.5695222239652209,-0.49697216386179244,-1.4897583931010674,-0.46037380082298074
19,01.01.2017-19:00,0.9579507149152967,-0.5281262988886889,0.06552047001768847,-0.5689737546965665,-0.5495772208556003,-1.4897583931010674,-0.46037380082298074
20,01.01.2017-20:00,1.3263515122720826,-0.5281262988886889,0.14368674410316665,-0.5678768161592579,-0.6153335420978602,-1.5416312755949078,-0.46037380082298074
21,01.01.2017-21:00,0.4053495188801173,-0.5281262988886889,0.18276988114590573,-0.5711676317711838,-0.7205436560854759,-1.4897583931010674,-0.46037380082298074
22,01.01.2017-22:00,0.8351504491297012,-0.5281262988886889,0.21403639078009523,-0.5700706932338752,-0.7731487130792838,-1.5416312755949078,-0.46037380082298074
23,01.01.2017-23:00,-0.02445141136946637,-0.5281262988886889,0.23748627300573513,-0.5711676317711838,-0.8520562985699955,-1.4897583931010674,-0.46037380082298074
24,02.01.2017-00:00,-0.884053271868634,-0.5281262988886889,0.2531195278228343,-0.5766523244577269,-1.1939891690297466,-0.8154109206811426,-0.46037380082298074
25,02.01.2017-01:00,-0.9454534047614317,-0.5281262988886889,0.22966964559718553,-0.575006916651764,-1.3123505472658143,-0.607919390705781,-0.46037380082298074
26,02.01.2017-02:00,-1.0068535376542294,-0.5281262988886889,0.22966964559718553,-0.5728130395771468,-1.3255018115142663,-0.5560465082119407,-0.46037380082298074
27,02.01.2017-03:00,-1.1910539363326225,-0.5281262988886889,0.23748627300573513,-0.5722645703084924,-1.3649556042596223,-0.5560465082119407,-0.46037380082298074
28,02.01.2017-04:00,-0.7612530060830387,-0.5281262988886889,0.22185301818864483,-0.5755553859204183,-1.3649556042596223,-0.7635380381873023,-0.46037380082298074
29,02.01.2017-05:00,-1.25245406922542,-0.5281262988886889,0.22185301818864483,-0.5733615088458011,-1.3649556042596223,-0.607919390705781,-0.46037380082298074
30,02.01.2017-06:00,-0.699852873190241,-0.5281262988886889,0.19058650855444645,-0.5684252854279122,-1.1808379047812947,-0.9710295681626637,-0.46037380082298074
31,02.01.2017-07:00,-0.9454534047614317,-0.5281262988886889,0.16713662632880655,-0.5684252854279122,-1.3123505472658143,-0.6597922731996214,-0.46037380082298074
32,02.01.2017-08:00,-1.3752543350110156,-0.5281262988886889,0.14368674410316665,-0.5706191625025295,-1.3518043400111703,-0.5041736257181003,-0.46037380082298074
