,Entity,Code,Year,Solar (% electricity)
0,Afghanistan,AFG,-0.6786210326873122,-0.288908699772628
1,Afghanistan,AFG,-0.5747307177371215,-0.288908699772628
2,Afghanistan,AFG,-0.4708404027869308,-0.288908699772628
3,Afghanistan,AFG,-0.3669500878367401,-0.288908699772628
4,Afghanistan,AFG,-0.26305977288654936,-0.288908699772628
5,Afghanistan,AFG,-0.15916945793635867,-0.288908699772628
6,Afghanistan,AFG,-0.055279142986167956,-0.288908699772628
7,Afghanistan,AFG,0.04861117196402275,-0.288908699772628
8,Afghanistan,AFG,0.15250148691421347,-0.288908699772628
9,Afghanistan,AFG,0.2563918018644042,-0.288908699772628
10,Afghanistan,AFG,0.3602821168145949,-0.288908699772628
11,Afghanistan,AFG,0.4641724317647856,-0.288908699772628
12,Afghanistan,AFG,0.5680627467149764,1.4077658088196636
13,Afghanistan,AFG,0.671953061665167,1.0562026349089662
14,Afghanistan,AFG,0.7758433766153577,0.9982237032177717
15,Afghanistan,AFG,0.8797336915655485,0.9764079082127001
16,Afghanistan,AFG,0.9836240065157391,1.356351324200557
17,Afghanistan,AFG,1.08751432146593,1.2786225135755152
18,Afghanistan,AFG,1.1914046364161206,1.412599634365741
19,Afghanistan,AFG,1.2952949513663112,2.0367509030884845
20,Afghanistan,AFG,1.399185266316502,3.4437751195921784
21,Afghanistan,AFG,1.5030755812666927,4.508115072301739
22,Africa,AFG,-2.236975756940173,-0.288908699772628
23,Africa,AFG,-2.1330854419899823,-0.288908699772628
24,Africa,AFG,-2.0291951270397917,-0.288908699772628
25,Africa,AFG,-1.9253048120896008,-0.288908699772628
26,Africa,AFG,-1.82141449713941,-0.288908699772628
27,Africa,AFG,-1.7175241821892193,-0.288908699772628
28,Africa,AFG,-1.6136338672390287,-0.288908699772628
29,Africa,AFG,-1.5097435522888378,-0.288908699772628
30,Africa,AFG,-1.4058532373386472,-0.288908699772628
31,Africa,AFG,-1.3019629223884566,-0.288908699772628
32,Africa,AFG,-1.1980726074382657,-0.288908699772628
33,Africa,AFG,-1.094182292488075,-0.288908699772628
34,Africa,AFG,-0.9902919775378843,-0.288908699772628
35,Africa,AFG,-0.8864016625876936,-0.288908699772628
36,Africa,AFG,-0.782511347637503,-0.288908699772628
37,Africa,AFG,-0.6786210326873122,-0.288908699772628
38,Africa,AFG,-0.5747307177371215,-0.288908699772628
39,Africa,AFG,-0.4708404027869308,-0.2867557301986757
40,Africa,AFG,-0.3669500878367401,-0.2868573802868255
41,Africa,AFG,-0.26305977288654936,-0.28697693138095975
42,Africa,AFG,-0.15916945793635867,-0.2870504298165895
43,Africa,AFG,-0.055279142986167956,-0.2862322691211318
44,Africa,AFG,0.04861117196402275,-0.28634904284965884
45,Africa,AFG,0.15250148691421347,-0.28555028982068237
46,Africa,AFG,0.2563918018644042,-0.28389426309419324
47,Africa,AFG,0.3602821168145949,-0.25963804538031504
48,Africa,AFG,0.4641724317647856,-0.2524989770164861
49,Africa,AFG,0.5680627467149764,-0.25097710707730175
50,Africa,AFG,0.671953061665167,-0.25330747135484877
51,Africa,AFG,0.7758433766153577,-0.16698170759513417
52,Africa,AFG,0.8797336915655485,-0.07964911956345466
53,Africa,AFG,0.9836240065157391,0.02496753149408786
54,Africa,AFG,1.08751432146593,0.12026516412820418
55,Africa,AFG,1.1914046364161206,0.260017642631104
56,Africa,AFG,1.2952949513663112,0.5440749310538833
57,Africa,AFG,1.399185266316502,0.5985379732019417
58,Africa,AFG,1.5030755812666927,0.7262189522330158
59,Africa (BP),AFG,-2.236975756940173,-0.288908699772628
60,Africa (BP),AFG,-2.1330854419899823,-0.288908699772628
61,Africa (BP),AFG,-2.0291951270397917,-0.288908699772628
62,Africa (BP),AFG,-1.9253048120896008,-0.288908699772628
63,Africa (BP),AFG,-1.82141449713941,-0.288908699772628
64,Africa (BP),AFG,-1.7175241821892193,-0.288908699772628
65,Africa (BP),AFG,-1.6136338672390287,-0.288908699772628
66,Africa (BP),AFG,-1.5097435522888378,-0.288908699772628
67,Africa (BP),AFG,-1.4058532373386472,-0.288908699772628
68,Africa (BP),AFG,-1.3019629223884566,-0.288908699772628
69,Africa (BP),AFG,-1.1980726074382657,-0.288908699772628
70,Africa (BP),AFG,-1.094182292488075,-0.288908699772628
