random_forest,gradient_boosting,linear_sgd,lstm,cnn,svr,data_fraction
"{'model_name': 'random_forest', 'model_type': 'advanced', 'rmse': 0.7587975791009874, 'mae': 0.4624255728487628, 'r2': 0.366686591060187, 'mape': 122.69320236090783}","{'model_name': 'gradient_boosting', 'model_type': 'advanced', 'rmse': 0.8488231070828072, 'mae': 0.5101827007565373, 'r2': 0.20749648465838122, 'mape': 165.15682427310537}","{'model_name': 'linear_sgd', 'model_type': 'advanced', 'rmse': 0.9089031790090628, 'mae': 0.6164372416143622, 'r2': 0.09133865164288868, 'mape': 147.9409161470629}","{'model_name': 'lstm', 'model_type': 'advanced', 'rmse': 0.9829161890867667, 'mae': 0.5341884555599132, 'r2': -0.062673342654878, 'mape': 110.01001319754033}","{'model_name': 'cnn', 'model_type': 'advanced', 'rmse': 0.9583264349513902, 'mae': 0.5902639178922447, 'r2': -0.010168324252201932, 'mape': 99.28484645121435}","{'model_name': 'svr', 'model_type': 'advanced', 'rmse': 0.9698035947426623, 'mae': 0.49768864960636167, 'r2': -0.03450927607769749, 'mape': 97.4552419549553}",0.1
"{'model_name': 'random_forest', 'model_type': 'advanced', 'rmse': 0.6589151860852369, 'mae': 0.37329065815594115, 'r2': 0.5902396185200748, 'mape': 181.45532915180405}","{'model_name': 'gradient_boosting', 'model_type': 'advanced', 'rmse': 0.6799851718323124, 'mae': 0.409317479879173, 'r2': 0.56361499771551, 'mape': 191.4200335650018}","{'model_name': 'linear_sgd', 'model_type': 'advanced', 'rmse': 0.9605653550539083, 'mae': 0.6446285715086884, 'r2': 0.1291872698799883, 'mape': 161.68871589832537}","{'model_name': 'lstm', 'model_type': 'advanced', 'rmse': 1.0364832921710716, 'mae': 0.6274178814994542, 'r2': -0.01390098090542935, 'mape': 103.31973979662732}","{'model_name': 'cnn', 'model_type': 'advanced', 'rmse': 1.0317596575455186, 'mae': 0.6495718507491116, 'r2': -0.004680601719690314, 'mape': 99.87422526970407}","{'model_name': 'svr', 'model_type': 'advanced', 'rmse': 1.0436325557652322, 'mae': 0.5196219695137574, 'r2': -0.027936218350058217, 'mape': 132.8119847143503}",0.25
"{'model_name': 'random_forest', 'model_type': 'advanced', 'rmse': 0.6593897872398634, 'mae': 0.362865731308715, 'r2': 0.5828601896504538, 'mape': 129.9704692431494}","{'model_name': 'gradient_boosting', 'model_type': 'advanced', 'rmse': 0.6668924308652058, 'mae': 0.3832231252243446, 'r2': 0.5733136172302866, 'mape': 132.50872129908439}","{'model_name': 'linear_sgd', 'model_type': 'advanced', 'rmse': 0.9484727445616147, 'mae': 0.6159747861661876, 'r2': 0.1369282184277094, 'mape': 138.24818285387755}","{'model_name': 'lstm', 'model_type': 'advanced', 'rmse': 1.0211911895370764, 'mae': 0.6632455375607911, 'r2': -0.00048671207293460306, 'mape': 108.42522373626954}","{'model_name': 'cnn', 'model_type': 'advanced', 'rmse': 1.0210084589252788, 'mae': 0.6451497937151944, 'r2': -0.00012869254804992458, 'mape': 99.62245287306382}","{'model_name': 'svr', 'model_type': 'advanced', 'rmse': 1.0180476874553974, 'mae': 0.4894382164972645, 'r2': 0.005663343794235609, 'mape': 117.32863428245182}",0.5
"{'model_name': 'random_forest', 'model_type': 'advanced', 'rmse': 0.6483430932726262, 'mae': 0.3543436326851113, 'r2': 0.5975247900985422, 'mape': 145.63095763179433}","{'model_name': 'gradient_boosting', 'model_type': 'advanced', 'rmse': 0.6558768661016742, 'mae': 0.373148915711467, 'r2': 0.5881168894842662, 'mape': 144.8208625704699}","{'model_name': 'linear_sgd', 'model_type': 'advanced', 'rmse': 0.9566851513278507, 'mae': 0.6207793846095564, 'r2': 0.12367051379856286, 'mape': 150.7202700895425}","{'model_name': 'lstm', 'model_type': 'advanced', 'rmse': 1.0221702716337282, 'mae': 0.6486984396653032, 'r2': -0.00040499169883934094, 'mape': 99.40700788407005}","{'model_name': 'cnn', 'model_type': 'advanced', 'rmse': 1.022158543208228, 'mae': 0.6490995161721558, 'r2': -0.0003820344510558904, 'mape': 99.42725861401296}","{'model_name': 'svr', 'model_type': 'advanced', 'rmse': 1.025900051438386, 'mae': 0.49655582237226215, 'r2': -0.007719033124870656, 'mape': 111.74463795809531}",0.75
"{'model_name': 'random_forest', 'model_type': 'advanced', 'rmse': 0.6307112796455163, 'mae': 0.346431731443225, 'r2': 0.5974266369064043, 'mape': 173.29630233801677}","{'model_name': 'gradient_boosting', 'model_type': 'advanced', 'rmse': 0.6284244625523595, 'mae': 0.36043861728213217, 'r2': 0.6003406253266215, 'mape': 173.16981672765252}","{'model_name': 'linear_sgd', 'model_type': 'advanced', 'rmse': 0.930256388575572, 'mae': 0.6121521238349251, 'r2': 0.12423181868165978, 'mape': 201.69394739687493}","{'model_name': 'lstm', 'model_type': 'advanced', 'rmse': 0.9941177516856214, 'mae': 0.6450796114034598, 'r2': -0.00013700773459546234, 'mape': 102.04271493986703}","{'model_name': 'cnn', 'model_type': 'advanced', 'rmse': 0.9942566071417109, 'mae': 0.6498571137504132, 'r2': -0.00041641966324434954, 'mape': 104.89390963218945}","{'model_name': 'svr', 'model_type': 'advanced', 'rmse': 0.9953563211511232, 'mae': 0.4797104764475081, 'r2': -0.0026306979003902775, 'mape': 144.2926659574121}",1.0
