rmse,r2,model_weights,fold
0.6095988120512491,0.7112065913260375,"{'rf': 0.07819785493582294, 'gb': 0.9218021450641771}",1
0.646456642756455,0.6706786165094367,"{'rf': 0.46581967539506647, 'gb': 0.5341803246049335}",2
0.6194021390086708,0.6534224378542866,"{'rf': 0.7645312809262763, 'gb': 0.23546871907372366}",3
0.4967310079001949,0.7032435576568867,"{'rf': 0.7894884708899644, 'gb': 0.21051152911003548}",4
0.44051007967592437,0.7432994605727667,"{'rf': 0.985715460368876, 'gb': 0.014284539631123964}",5
