model_name,rmse,mae,r2,adjusted_r2,mape,fold,model_type
linear_regression,1.093937600182258,0.6217773295045462,0.14391554685298724,0.14365706724756844,148.12629543567718,1,baseline
ridge,1.093865366775656,0.6216084063238266,0.14402859873964247,0.1437701532682475,147.88880550668915,1,baseline
lasso,1.1885449059475046,0.6716043041557479,-0.010561387714019599,-0.010866508905962302,108.17522736948007,1,baseline
linear_regression,1.029066704752241,0.6197959886864756,0.13590604496505365,0.1356451470317701,170.32633987453812,2,baseline
ridge,1.0290593799788068,0.619790964269249,0.1359183459556339,0.13565745173641763,170.32994784214603,2,baseline
lasso,1.1075994514790874,0.6767302387206796,-0.0010122151029792192,-0.0013144530906310514,99.77449836099697,2,baseline
linear_regression,0.9311403472704289,0.5795613774183368,0.16843835981455657,0.16818728444010445,182.41635118525238,3,baseline
ridge,0.9310204044709339,0.5795683771733389,0.1686525775906098,0.16840156689543795,182.8498408071716,3,baseline
lasso,1.0211331523328178,0.6565502395980661,-6.65673189310656e-05,-0.00036851978490903825,103.6411025693826,3,baseline
linear_regression,0.8156821851569276,0.5440261818603481,0.17258543784491198,0.17233561460754632,172.17631188533593,4,baseline
ridge,0.8156677500737142,0.5439168894402313,0.17261472300668113,0.1723649086114537,172.03254067058248,4,baseline
lasso,0.8970348296276214,0.6268539434085907,-0.0006905935339611702,-0.0009927344136513305,104.32801390833757,4,baseline
linear_regression,0.8275692241549614,0.5293829153840041,0.17669026858000214,0.17644168472389699,162.80270340460228,5,baseline
ridge,0.8275700330636979,0.5293872957506401,0.17668865908863718,0.17644007474657453,162.80822854607095,5,baseline
lasso,0.9128596199907032,0.6187640357669768,-0.0017574449630659572,-0.0020599079597334313,102.67834692537603,5,baseline
random_forest,1.0366332975771149,0.6103128916905833,0.2312558575288567,,285.0841432037568,1,advanced
gradient_boosting,1.1066642337619788,0.6470073971323871,0.12388067720473528,,297.8101663414861,1,advanced
linear_sgd,1.0185795868451055,0.6012711313737926,0.2577991507010897,,214.86133303145385,1,advanced
random_forest,0.9473128195080531,0.5484499807415607,0.26774770421133864,,181.52169656243404,2,advanced
gradient_boosting,0.9503221067921328,0.5498393620296369,0.2630880871355349,,181.41960336814097,2,advanced
linear_sgd,0.9614803278468872,0.5857608915168837,0.2456815699032041,,187.89490612120997,2,advanced
random_forest,0.8511727029912189,0.49412419041930356,0.30513644961532094,,184.16617822246295,3,advanced
gradient_boosting,0.8522933568455179,0.496575956301569,0.30330553062000487,,187.57799062200644,3,advanced
linear_sgd,0.8673460097020954,0.5259979352140506,0.27847908303324986,,187.33184864369474,3,advanced
random_forest,0.7353607376661611,0.451366616577789,0.32751580439856354,,171.29851171322994,4,advanced
gradient_boosting,0.735505625260252,0.45246368941743126,0.3272507801433655,,166.44536628287557,4,advanced
linear_sgd,0.7509314302265325,0.4895447625338546,0.2987356364102598,,173.42174675692635,4,advanced
random_forest,0.7591883422219309,0.4388663542450404,0.3071269860982414,,152.1764990636433,5,advanced
gradient_boosting,0.7614154412266984,0.4413908098648448,0.303055901042516,,154.59026064139934,5,advanced
linear_sgd,0.7754837865421288,0.4801412426414156,0.277063703583891,,152.59430411704312,5,advanced
