model_name,rmse,mae,r2,mape,fold
random_forest,1.0366332975771149,0.6103128916905833,0.2312558575288567,285.0841432037568,1
gradient_boosting,1.1066642337619788,0.6470073971323871,0.12388067720473528,297.8101663414861,1
linear_sgd,1.0185795868451055,0.6012711313737926,0.2577991507010897,214.86133303145385,1
random_forest,0.9473128195080531,0.5484499807415607,0.26774770421133864,181.52169656243404,2
gradient_boosting,0.9503221067921328,0.5498393620296369,0.2630880871355349,181.41960336814097,2
linear_sgd,0.9614803278468872,0.5857608915168837,0.2456815699032041,187.89490612120997,2
random_forest,0.8511727029912189,0.49412419041930356,0.30513644961532094,184.16617822246295,3
gradient_boosting,0.8522933568455179,0.496575956301569,0.30330553062000487,187.57799062200644,3
linear_sgd,0.8673460097020954,0.5259979352140506,0.27847908303324986,187.33184864369474,3
random_forest,0.7353607376661611,0.451366616577789,0.32751580439856354,171.29851171322994,4
gradient_boosting,0.735505625260252,0.45246368941743126,0.3272507801433655,166.44536628287557,4
linear_sgd,0.7509314302265325,0.4895447625338546,0.2987356364102598,173.42174675692635,4
random_forest,0.7591883422219309,0.4388663542450404,0.3071269860982414,152.1764990636433,5
gradient_boosting,0.7614154412266984,0.4413908098648448,0.303055901042516,154.59026064139934,5
linear_sgd,0.7754837865421288,0.4801412426414156,0.277063703583891,152.59430411704312,5
